date,well,label,sample_ID,type,std_conc,std_conc_unit,diluent,volume,sample_dil,sample_dil_final,source,species,suppress,wr_volume
2026.06.15,A1,Blank,,blank,,,,,,,,,FALSE,
2026.06.15,A2,Blank,,blank,,,,,,,,,FALSE,
2026.06.15,A3,Blank,,blank,,,,,,,,,FALSE,
2026.06.15,B1,STD0,STD,std,0,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,B2,STD0,STD,std,0,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,B3,STD0,STD,std,0,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,C1,STD1,STD,std,0.05,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,C2,STD1,STD,std,0.05,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,C3,STD1,STD,std,0.05,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,D1,STD2,STD,std,0.2,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,D2,STD2,STD,std,0.2,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,D3,STD2,STD,std,0.2,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,E1,STD3,STD,std,0.35,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,E2,STD3,STD,std,0.35,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,E3,STD3,STD,std,0.35,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,F1,STD4,STD,std,0.5,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,F2,STD4,STD,std,0.5,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,F3,STD4,STD,std,0.5,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,G1,STD5,STD,std,0.65,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,G2,STD5,STD,std,0.65,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,G3,STD5,STD,std,0.65,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,H1,STD6,STD,std,0.8,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,H2,STD6,STD,std,0.8,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,H3,STD6,STD,std,0.8,mg/mL,PBS,10,,,,,FALSE,200
2026.06.15,A4,G025,G025,sample,,,PBS,3,10,,whole_body,tenebrio,FALSE,200
2026.06.15,A5,G025,G025,sample,,,PBS,3,10,,whole_body,tenebrio,FALSE,200
2026.06.15,A6,G025,G025,sample,,,PBS,3,10,,whole_body,tenebrio,FALSE,200
2026.06.15,B4,G026,G026,sample,,,PBS,3,10,,whole_body,tenebrio,FALSE,200
2026.06.15,B5,G026,G026,sample,,,PBS,3,10,,whole_body,tenebrio,FALSE,200
2026.06.15,B6,G026,G026,sample,,,PBS,3,10,,whole_body,tenebrio,FALSE,200
2026.06.15,C4,G027,G027,sample,,,PBS,3,10,,whole_body,tenebrio,FALSE,200
2026.06.15,C5,G027,G027,sample,,,PBS,3,10,,whole_body,tenebrio,FALSE,200
2026.06.15,C6,G027,G027,sample,,,PBS,3,10,,whole_body,tenebrio,FALSE,200
2026.06.15,D4,G028,G028,sample,,,PBS,3,10,,whole_body,tenebrio,FALSE,200
2026.06.15,D5,G028,G028,sample,,,PBS,3,10,,whole_body,tenebrio,FALSE,200
2026.06.15,D6,G028,G028,sample,,,PBS,3,10,,whole_body,tenebrio,FALSE,200
2026.06.15,E4,G029,G029,sample,,,PBS,3,10,,whole_body,tenebrio,FALSE,200
2026.06.15,E5,G029,G029,sample,,,PBS,3,10,,whole_body,tenebrio,FALSE,200
2026.06.15,E6,G029,G029,sample,,,PBS,3,10,,whole_body,tenebrio,FALSE,200
2026.06.15,F4,G030,G030,sample,,,PBS,3,10,,whole_body,tenebrio,FALSE,200
2026.06.15,F5,G030,G030,sample,,,PBS,3,10,,whole_body,tenebrio,FALSE,200
2026.06.15,F6,G030,G030,sample,,,PBS,3,10,,whole_body,tenebrio,FALSE,200
